2, 33408, Note_on_c, 0, 77, 80
2, 33592, Note_off_c, 0, 80, 100
2, 33592, Note_off_c, 0, 77, 100
2, 33600, Note_on_c, 0, 79, 80
2, 33600, Note_on_c, 0, 75, 80
2, 33784, Note_off_c, 0, 79, 100
2, 33784, Note_off_c, 0, 75, 100
2, 33792, Note_on_c, 0, 77, 80
2, 33792, Note_on_c, 0, 74, 80
2, 34168, Note_off_c, 0, 77, 100
2, 34168, Note_off_c, 0, 74, 100
2, 34560, Note_on_c, 0, 96, 80
2, 34560, Note_on_c, 0, 92, 80
2, 34744, Note_off_c, 0, 96, 100
2, 34744, Note_off_c, 0, 92, 100
2, 34752, Note_on_c, 0, 94, 80
2, 34752, Note_on_c, 0, 91, 80
2, 34936, Note_off_c, 0, 94, 100
2, 34936, Note_off_c, 0, 91, 100
2, 34944, Note_on_c, 0, 92, 80
2, 34944, Note_on_c, 0, 89, 80
2, 35128, Note_off_c, 0, 92, 100
2, 35128, Note_off_c, 0, 89, 100
2, 35136, Note_on_c, 0, 91, 80
2, 35136, Note_on_c, 0, 87, 80
2, 35320, Note_off_c, 0, 91, 100
2, 35320, Note_off_c, 0, 87, 100
2, 35328, Note_on_c, 0, 89, 80
2, 35328, Note_on_c, 0, 86, 80
2, 35704, Note_off_c, 0, 89, 100
2, 35704, Note_off_c, 0, 86, 100
2, 35712, Note_on_c, 0, 84, 80
2, 35712, Note_on_c, 0, 74, 80
2, 35896, Note_off_c, 0, 84, 100
2, 35896, Note_off_c, 0, 74, 100
2, 35904, Note_on_c, 0, 82, 80
2, 35904, Note_on_c, 0, 75, 80
2, 36088, Note_off_c, 0, 82, 100
2, 36088, Note_off_c, 0, 75, 100
2, 36096, Note_on_c, 0, 80, 80
2, 36096, Note_on_c, 0, 71, 80
2, 36280, Note_off_c, 0, 80, 100
2, 36280, Note_off_c, 0, 71, 100
2, 36288, Note_on_c, 0, 79, 82
2, 36288, Note_on_c, 0, 72, 82
2, 36472, Note_off_c, 0, 79, 100
2, 36472, Note_off_c, 0, 72, 100
2, 36480, Note_on_c, 0, 77, 85
2, 36480, Note_on_c, 0, 67, 85
2, 36664, Note_off_c, 0, 77, 100
2, 36664, Note_off_c, 0, 67, 100
2, 36672, Note_on_c, 0, 78, 88
2, 36672, Note_on_c, 0, 75, 88
2, 36856, Note_off_c, 0, 78, 100
2, 36856, Note_off_c, 0, 75, 100
2, 36864, Note_on_c, 0, 79, 91
2, 36864, Note_on_c, 0, 74, 91
2, 37048, Note_off_c, 0, 79, 100
2, 37048, Note_off_c, 0, 74, 100
2, 37056, Note_on_c, 0, 81, 94
2, 37056, Note_on_c, 0, 74, 94
2, 37056, Note_on_c, 0, 78, 94
2, 37240, Note_off_c, 0, 81, 100
2, 37240, Note_off_c, 0, 74, 100
2, 37240, Note_off_c, 0, 78, 100
2, 37248, Note_on_c, 0, 83, 96
2, 37248, Note_on_c, 0, 74, 96
2, 37248, Note_on_c, 0, 79, 96
2, 37432, Note_off_c, 0, 83, 100
2, 37432, Note_off_c, 0, 74, 100
2, 37432, Note_off_c, 0, 79, 100
2, 37440, Note_on_c, 0, 83, 99
2, 37440, Note_on_c, 0, 74, 99
2, 37440, Note_on_c, 0, 79, 99
2, 37624, Note_off_c, 0, 83, 100
2, 37624, Note_off_c, 0, 74, 100
2, 37624, Note_off_c, 0, 79, 100
2, 37632, Note_on_c, 0, 84, 102
2, 37632, Note_on_c, 0, 75, 102
2, 37632, Note_on_c, 0, 79, 102
